time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1952-06-11T00:31:43.700Z,-31.672,-68.483,25,6.83,mw,,,,,iscgem,iscgem893012,2022-04-26T18:03:53.362Z,"8 km W of Nueve de Julio, Argentina",earthquake,,7.8,0.3,,reviewed,iscgem,iscgem
1952-07-05T23:06:19.790Z,-30.652,-71.411,35,6.07,mw,,,,,iscgem,iscgem893112,2022-04-26T18:04:48.160Z,"21 km WSW of Ovalle, Chile",earthquake,,19,0.45,,reviewed,iscgem,iscgem
1952-08-18T13:05:02.770Z,-30.041,-71.572,35,6.2,mw,,,,,iscgem,iscgem893288,2022-04-26T18:05:42.315Z,"24 km WSW of Coquimbo, Chile",earthquake,,20.3,0.2,,reviewed,iscgem,iscgem
1952-12-09T05:47:36.010Z,-34.891,-75.772,15,5.67,mw,,,,,iscgem,iscgem893872,2022-04-26T18:11:30.994Z,"Off the coast of Libertador O'Higgins, Chile",earthquake,,25,0.47,,reviewed,iscgem,iscgem
1953-07-31T22:57:35.720Z,-34.25,-69.905,15,5.98,mw,,,,,iscgemsup,iscgemsup891869,2022-05-09T20:13:33.734Z,"69 km E of Machalí, Chile",earthquake,,3.8,0.73,,reviewed,iscgemsup,iscgemsup
1953-09-04T14:07:17.060Z,-32.738,-71.701,36.6,6.26,mw,,,,,iscgem,iscgem891974,2022-04-26T17:54:53.768Z,"33 km NNW of Valparaíso, Chile",earthquake,,4.8,0.2,,reviewed,iscgem,iscgem
1953-12-20T09:19:49.580Z,-31.815,-71.775,25,6.26,mw,,,,,iscgem,iscgem892303,2022-04-26T17:58:59.772Z,"60 km WSW of Illapel, Chile",earthquake,,3.9,0.2,,reviewed,iscgem,iscgem
1954-07-23T04:33:34.060Z,-30.415,-71.51,38.3,6.11,mw,,,,,iscgem,iscgem890876,2022-04-26T17:45:16.050Z,"36 km NW of Ovalle, Chile",earthquake,,5,0.2,,reviewed,iscgem,iscgem
1954-08-28T23:04:27.060Z,-57.852,-66.066,15,5.96,mw,,,,,iscgemsup,iscgemsup891008,2022-05-09T20:07:10.584Z,Drake Passage,earthquake,,25,0.9,,reviewed,iscgemsup,iscgemsup
1955-04-19T20:24:10.880Z,-30.128,-71.935,15,6.95,mw,,,,,iscgem,iscgem889444,2022-04-26T17:33:27.903Z,"60 km WSW of Coquimbo, Chile",earthquake,,19.5,0.32,,reviewed,iscgem,iscgem
1955-04-20T02:12:34.830Z,-30.4,-71.933,25,6.13,mw,,,,,iscgem,iscgem889446,2022-04-26T17:33:29.088Z,"73 km WNW of Ovalle, Chile",earthquake,,13.4,0.35,,reviewed,iscgem,iscgem
1955-04-20T05:48:35.980Z,-30.664,-72.071,15,6.26,mw,,,,,iscgem,iscgem889447,2022-04-26T17:33:30.433Z,"83 km W of Ovalle, Chile",earthquake,,13.4,0.38,,reviewed,iscgem,iscgem
1955-07-28T01:59:34.430Z,-40.8,-72.026,15,6.13,mw,,,,,iscgem,iscgem889793,2022-04-26T17:35:32.425Z,"32 km W of Villa La Angostura, Argentina",earthquake,,25,0.27,,reviewed,iscgem,iscgem
1956-06-09T10:08:29.940Z,-30.332,-71.474,23.5,6.63,mw,,,,,iscgem,iscgem888344,2022-04-26T17:24:23.487Z,"39 km NW of Ovalle, Chile",earthquake,,3.8,0.2,,reviewed,iscgem,iscgem
1957-12-20T11:18:47.840Z,-30.75,-71.902,25,5.92,mw,,,,,iscgem,iscgem887712,2022-04-26T17:20:52.717Z,"69 km WSW of Ovalle, Chile",earthquake,,13.4,0.23,,reviewed,iscgem,iscgem
1958-08-28T09:36:08.750Z,-33.902,-70.125,15,5.56,mw,,,,,iscgem,iscgem885045,2022-04-26T17:02:38.013Z,"52 km SE of Puente Alto, Chile",earthquake,,3.8,0.2,,reviewed,iscgem,iscgem
1958-09-04T21:51:16.470Z,-33.832,-69.958,15,6.81,mw,,,,,iscgem,iscgem885098,2022-04-26T17:03:12.094Z,"62 km ESE of Puente Alto, Chile",earthquake,,3.8,0.22,,reviewed,iscgem,iscgem
1959-04-08T11:44:29.750Z,-50.612,-72.666,15,6.14,mw,,,,,iscgem,iscgem881747,2022-04-26T16:42:34.729Z,"40 km SW of El Calafate, Argentina",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1960-05-21T10:02:57.560Z,-37.824,-73.353,25,8.1,mw,,,,,iscgem,iscgem879106,2022-04-26T16:29:43.728Z,"4 km ESE of Cañete, Chile",earthquake,,4.8,0.3,,reviewed,iscgem,iscgem
1960-05-21T13:00:04.090Z,-37.364,-73.194,25,6.2,mw,,,,,iscgem,iscgem879111,2022-04-26T16:29:50.273Z,"17 km SE of Arauco, Chile",earthquake,,19.3,0.47,,reviewed,iscgem,iscgem
1960-05-22T06:01:39.850Z,-38.064,-73.962,15,5.81,mw,,,,,iscgem,iscgem879123,2022-04-26T16:29:55.648Z,"57 km SSW of Lebu, Chile",earthquake,,7.5,0.2,,reviewed,iscgem,iscgem
1960-05-22T08:10:59.100Z,-37.975,-73.127,25,5.77,mw,,,,,iscgem,iscgem879126,2022-04-26T16:29:56.984Z,"30 km SE of Cañete, Chile",earthquake,,5.8,0.46,,reviewed,iscgem,iscgem
1960-05-22T10:30:44.350Z,-37.775,-73.017,25,7.14,mw,,,,,iscgem,iscgem879127,2022-04-26T16:30:02.798Z,"26 km W of Angol, Chile",earthquake,,5.8,0.2,,reviewed,iscgem,iscgem
1960-05-22T10:32:47.810Z,-37.86,-73.149,25,6.8,mw,,,,,iscgem,iscgem879128,2022-04-26T16:30:04.483Z,"22 km ESE of Cañete, Chile",earthquake,,5.8,0.4,,reviewed,iscgem,iscgem
1960-05-22T19:11:20.000Z,-38.143,-73.407,25,9.5,mw,,,,,official,official19600522191120_30,2022-04-26T16:30:06.879Z,1960 Great Chilean Earthquake (Valdivia Earthquake),earthquake,,,,,automatic,iscgem,official
1960-05-23T00:25:48.010Z,-38.543,-73.866,20,6.51,mw,,,,,iscgem,iscgem879149,2022-04-26T16:30:08.102Z,"64 km WNW of Carahue, Chile",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1960-05-23T02:46:35.910Z,-41.579,-73.367,25,6.25,mw,,,,,iscgem,iscgem879166,2022-04-26T16:30:13.224Z,"29 km NW of Calbuco, Chile",earthquake,,8.8,0.2,,reviewed,iscgem,iscgem
1960-05-23T02:56:20.730Z,-43.1,-75.287,20,6.2,mw,,,,,iscgem,iscgem879167,2022-04-26T16:30:18.594Z,"134 km WSW of Chonchi, Chile",earthquake,,7,0.5,,reviewed,iscgem,iscgem
1960-05-23T05:13:39.810Z,-38.162,-72.691,25,6.42,mw,,,,,iscgem,iscgem879175,2022-04-26T16:30:19.857Z,"9 km N of Traiguén, Chile",earthquake,,30.4,0.28,,reviewed,iscgem,iscgem
1960-05-23T07:09:21.780Z,-48.089,-75.698,20,6.14,mw,,,,,iscgem,iscgem879180,2022-04-26T16:30:20.964Z,"252 km WSW of Cochrane, Chile",earthquake,,25,0.37,,reviewed,iscgem,iscgem
1960-05-23T09:52:22.730Z,-37.859,-73.152,25,6.23,mw,,,,,iscgemsup,iscgemsup879184,2022-05-09T19:28:52.606Z,"22 km ESE of Cañete, Chile",earthquake,,5.8,0.73,,reviewed,iscgemsup,iscgemsup
